,Time,Close,Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,Time
51,2004-04-01 00:00:00-05:00,1401.3599853515625,3/17/23,4.31,4.51,4.52,4.79,4.71,4.26,3.81,3.68,3.44,3.45,3.39,3.76,3.6,2023-03-17
52,2004-05-01 00:00:00-04:00,1466.219970703125,3/20/23,4.34,4.56,4.81,4.84,4.8,4.34,3.92,3.77,3.56,3.55,3.47,3.83,3.65,2023-03-20
53,2004-06-01 00:00:00-04:00,1516.6400146484375,3/21/23,4.07,4.5,4.78,4.89,4.96,4.68,4.17,3.98,3.73,3.68,3.59,3.9,3.73,2023-03-21
54,2004-07-01 00:00:00-04:00,1400.3900146484375,3/22/23,4.16,4.56,4.79,4.91,4.95,4.56,3.96,3.76,3.54,3.53,3.48,3.83,3.68,2023-03-22
55,2004-08-01 00:00:00-04:00,1368.6800537109375,3/23/23,4.26,4.48,4.73,4.84,4.8,4.38,3.76,3.57,3.39,3.39,3.38,3.78,3.66,2023-03-23
56,2004-09-01 00:00:00-04:00,1412.739990234375,3/24/23,4.28,4.48,4.74,4.78,4.76,4.32,3.76,3.58,3.41,3.4,3.38,3.77,3.64,2023-03-24
57,2004-10-01 00:00:00-04:00,1486.719970703125,3/27/23,4.22,4.47,4.91,4.9,4.86,4.51,3.94,3.79,3.59,3.57,3.53,3.9,3.77,2023-03-27
58,2004-11-01 00:00:00-05:00,1571.5,3/28/23,4.24,4.39,4.8,4.86,4.9,4.55,4.02,3.84,3.63,3.6,3.55,3.9,3.77,2023-03-28
59,2004-12-01 00:00:00-05:00,1621.1199951171875,3/29/23,4.34,4.5,4.8,4.91,4.92,4.59,4.08,3.87,3.67,3.62,3.57,3.91,3.78,2023-03-29
60,2005-01-01 00:00:00-05:00,1519.6300048828125,3/30/23,4.74,4.77,4.97,4.94,4.92,4.63,4.1,3.87,3.66,3.61,3.55,3.88,3.74,2023-03-30
61,2005-02-01 00:00:00-05:00,1511.02001953125,3/31/23,4.74,4.79,4.85,4.97,4.94,4.64,4.06,3.81,3.6,3.55,3.48,3.81,3.67,2023-03-31
62,2005-03-01 00:00:00-05:00,1482.530029296875,4/3/23,4.7,4.79,4.9,4.98,4.88,4.6,3.97,3.73,3.52,3.48,3.43,3.78,3.64,2023-04-03
63,2005-04-01 00:00:00-05:00,1420.7900390625,4/4/23,4.66,4.8,4.88,4.9,4.8,4.5,3.84,3.6,3.39,3.38,3.35,3.72,3.6,2023-04-04
