date,Unnamed: 0.1,Unnamed: 0,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price,date
2025-09-19,1005,1005,IBM,2025-09-19,250.0,18.95,put,41,315,0.32668,-0.39671,0.00653,-0.04696,0.69614,-0.60884,0.50411,97.73612,18.95,2025-09-19
2025-09-19,1006,1006,IBM,2025-09-19,260.0,20.5,call,2,715,0.27135,0.52761,0.00812,-0.06602,0.7187,0.58383,0.50411,0.02844128,20.5,2025-09-19
2025-09-19,1007,1007,IBM,2025-09-19,260.0,24.4,put,1,340,0.33019,-0.46209,0.00666,-0.04689,0.71717,-0.72043,0.50411,107.5579,24.4,2025-09-19
2025-09-19,1008,1008,IBM,2025-09-19,270.0,15.05,call,35,550,0.27074,0.44975,0.00809,-0.06375,0.7147,0.50423,0.50411,0.01437762,15.05,2025-09-19
2025-09-19,1010,1010,IBM,2025-09-19,280.0,11.69,call,73,2119,0.26845,0.37494,0.00782,-0.05932,0.68473,0.42552,0.50411,0.006613509,11.69,2025-09-19
2025-09-19,1012,1012,IBM,2025-09-19,290.0,9.15,call,10,602,0.26693,0.30648,0.00728,-0.05367,0.6339,0.3514,0.50411,0.003076215,9.15,2025-09-19
2025-09-19,1014,1014,IBM,2025-09-19,300.0,7.3,call,49,2104,0.26327,0.24325,0.00659,-0.04658,0.5655,0.28172,0.50411,0.001230987,7.3,2025-09-19
2025-09-19,1015,1015,IBM,2025-09-19,300.0,52.3,put,10,34,0.34909,-0.68121,0.00566,-0.0339,0.64476,-1.14298,0.50411,147.0364,151.8181,2025-09-19
2025-09-19,1016,1016,IBM,2025-09-19,310.0,5.27,call,24,463,0.27226,0.20177,0.00572,-0.04265,0.50825,0.23423,0.50411,0.001056358,5.27,2025-09-19
2025-09-19,1018,1018,IBM,2025-09-19,320.0,3.33,call,0,727,0.2683,0.15475,0.00491,-0.03522,0.42985,0.18115,0.50411,0.0004117965,3.33,2025-09-19
